subject,body,category,subcategory
Urgent: Your account needs verification,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
API service unavailable,Critical incident reported: login. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Your OTP Code,"Security Alert: Your verification code is 419145. If you did not request this code, please ignore this email.",non-ticket,otp
Problem: Multiple similar incidents,Problem ticket created to investigate performance degradation. Frequency: randomly. Impact: all users. Need permanent solution.,ticket,problem
Investigation: CRM stability issues,"Root cause analysis request for performance degradation. Related incidents: INC69480, INC60121. Common factor: disk I/O. Investigation priority: High.",ticket,problem
Frequent failures in ERP,Systematic investigation required for data sync. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Investigation: Payment Gateway stability issues,"Multiple incidents logged for web server: INC60854, INC32118, INC57876. Underlying problem suspected. Please investigate.",ticket,problem
Change: Security patch deployment,Requesting change to update web server from version v1.1 to v5.1. Risk assessment completed.,ticket,change
Confirm your identity: 287247,287247 is your authentication code. Enter this code to verify your identity. Code expires at 06:20.,non-ticket,otp
Backup completed successfully,"Security Alert: We detected a new login to your account from London, Safari at 06:26. If this was not you, please secure your account.",non-ticket,notification
Change Request for UAT,Infrastructure change needed: application deployment. Business justification: project requirement. Implementation date: 2026-03-10.,ticket,change
Access Request - VPN,"New employee onboarding - please set up: email account, network access, Visual Studio. Start date: 2026-02-16.",ticket,request
Production Issue - cache,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Sale Alert: Up to 42% off,Exclusive offer for our subscribers! Limited time promotion. Limited time only. Click here to browse our collection.,non-ticket,marketing
Load balancer configuration change,Change request to deploy v5.8.12 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Weekly Newsletter - account activity,"Dear valued customer, enjoy 30% off on clearance items. Use code: 341349. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Payment gateway failure,We are experiencing data corruption. Users are unable to access files. This is affecting all users. Please investigate immediately.,ticket,incident
Production Issue - database,We are experiencing system freeze. Users are unable to make payments. This is affecting critical business operations. Please investigate immediately.,ticket,incident
Change Request for Staging,Requesting change to update load balancer from version v2.8 to v4.4. Risk assessment completed.,ticket,change
Email server down,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Printer not responding,Incident #: timeout errors - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Firewall rule change request,Scheduled maintenance window for SAP on 2026-03-11 from 5:00 AM to 5:00 AM. Impact: production environment. Stakeholders notified.,ticket,change
Automated system message,This is a system-generated email regarding status update. Please do not respond to this message. Contact support@service.com for support.,non-ticket,noreply
Application version upgrade,Database migration scheduled for 2026-03-07. Backup completed. Migration scripts tested. Expected duration: 2 hours.,ticket,change
Underlying issue investigation,We have observed a recurring pattern with authentication failure. This has occurred 98 times in the past week. Root cause analysis needed.,ticket,problem
Subscription renewed,"Automated notification: New Season Launch occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
Distribution list creation,Please provide me with software license. This is needed for client deliverables by 2026-02-25.,ticket,request
System Down - API Gateway,The API Gateway has crashed. Error message: Access Denied. This is blocking payroll. High priority.,ticket,incident
Single ladies in your area,"CONGRATULATIONS! You have been selected to receive $1,000,000. Click here immediately to claim your reward. Act fast!",non-ticket,spam
Frequent failures in API Gateway,"Root cause analysis request for connectivity problems. Related incidents: INC69043, INC11186. Common factor: network latency. Investigation priority: High.",ticket,problem
Printer access request,"New employee onboarding - please set up: email account, network access, Oracle. Start date: 2026-02-25.",ticket,request
Request for AutoCAD license,Requesting permission to access \\share\Operations\Projects. Business justification: project requirement. Manager approval attached.,ticket,request
Backup completed successfully,"Security Alert: We detected a new login to your account from Paris, Chrome at 06:24. If this was not you, please secure your account.",non-ticket,notification
Chronic performance degradation,Chronic issue with cache. Performance degradation noticed over week. Trend analysis shows decreasing performance.,ticket,problem
Your OTP Code,Your one-time password is: 303029. This code will expire in 6 minutes. Do not share this code with anyone.,non-ticket,otp
Load balancer configuration change,Change request to deploy v3.2.16 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Network connectivity issue,Incident #: performance degradation - urgent resolution needed. Status: Critical. Multiple departments affected.,ticket,incident
724443 is your verification code,Your OTP for Company Portal is 724443. This is an automated message. Please do not reply.,non-ticket,otp
500 error on /checkout,We are experiencing system freeze. Users are unable to access files. This is affecting customer transactions. Please investigate immediately.,ticket,incident
Critical bug in checkout,System outage detected at 10:18 PM. database is down. Customers cannot access dashboard.,ticket,incident
Problem Ticket: critical issue,Chronic issue with web server. Performance degradation noticed over month. Trend analysis shows increasing frequency.,ticket,problem
Migration plan for File Server,Change request to deploy v2.8.16 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Account activity alert,"System Notification: Your request has been processed. This is an automated alert. For assistance, please contact support@portal.com",non-ticket,noreply
Request: Increase storage quota,I need to reset my password for File Server. Username: user717. Please send reset link.,ticket,request
Authentication Code,Your OTP for CRM System is 716710. This is an automated message. Please do not reply.,non-ticket,otp
Claim your prize now,CONGRATULATIONS! You have been selected to receive a brand new car. Click here immediately to claim your reward. Act fast!,non-ticket,spam
Email alias creation request,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
File server inaccessible,Users reporting timeout errors since 5:46 PM. 23 users affected. Production environment impacted.,ticket,incident
Change: New feature deployment,Requesting approval for security patch. Environment: UAT. Risk Level: Medium. Testing completed in UAT.,ticket,change
Mobile device setup request,I need to reset my password for Salesforce. Username: user785. Please send reset link.,ticket,request
Security alert: New login detected,"Security Alert: We detected a new login to your account from London, Safari at 06:27. If this was not you, please secure your account.",non-ticket,notification
File server inaccessible,System outage detected at 6:41 AM. load balancer is down. Customers cannot access dashboard.,ticket,incident
Sale Alert: Up to 32% off,"Newsletter: system event. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Document shared with you,Notification: Your password will expire in 23 days. Please update your password before 2026-02-14.,non-ticket,notification
Software License Request,Requesting permission to access \\share\Sales\Projects. Business justification: team collaboration. Manager approval attached.,ticket,request
Problem Investigation: connectivity problems,Chronic issue with application server. Performance degradation noticed over week. Trend analysis shows decreasing performance.,ticket,problem
Change Request for Production,Configuration change request for Mobile App. Change window: 2026-02-20. Rollback procedure documented.,ticket,change
Payment received,This is a system-generated email regarding account activity. Please do not respond to this message. Contact support@service.com for support.,non-ticket,noreply
Reminder: Document Review due soon,Your statement is ready. Reference number: REF813100. You can access it through your account dashboard.,non-ticket,notification
Backup completed successfully,System maintenance is scheduled for 2026-02-14 from 1:00 AM to 7:00 AM. Services may be temporarily unavailable.,non-ticket,notification
Production Issue - database,System outage detected at 10:18 AM. database is down. Customers cannot access dashboard.,ticket,incident
Problem: Multiple similar incidents,Problem ticket created to investigate authentication failure. Frequency: daily. Impact: critical business operations. Need permanent solution.,ticket,problem
Pattern analysis needed for data corruption,We have observed a recurring pattern with data corruption. This has occurred 98 times in the past 3 days. Root cause analysis needed.,ticket,problem
Request for Adobe Creative Suite installation,I need to reset my password for CRM. Username: user548. Please send reset link.,ticket,request
Special Offer: 50% Off,Exclusive offer for our subscribers! Limited time promotion. Limited time only. Click here to browse our collection.,non-ticket,marketing
Pattern analysis needed for performance degradation,We have observed a recurring pattern with performance degradation. This has occurred 97 times in the past month. Root cause analysis needed.,ticket,problem
Trend analysis request,"Root cause analysis request for connectivity problems. Related incidents: INC73669, INC96362. Common factor: disk I/O. Investigation priority: High.",ticket,problem
Pattern analysis needed for performance degradation,Pattern identified: File Server fails every during backups. 44 incidents logged. Problem management process initiated.,ticket,problem
Update Request - web server,Requesting change to update web server from version v1.4 to v4.0. Risk assessment completed.,ticket,change
Weekly Newsletter - status update,Don't miss our Clearance Event! Special discounts on Home & Garden. Use promo code 036991 at checkout. Ends 2026-02-14.,non-ticket,marketing
Need RCA for recurring outages,We have observed a recurring pattern with performance degradation. This has occurred 7 times in the past 2 weeks. Root cause analysis needed.,ticket,problem
Single ladies in your area,Urgent: Your PayPal has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Account activity alert,This is an automated message from Banking Portal. Your order has been processed. Reference: REF104123. Do not reply to this email.,non-ticket,noreply
"You have won $1,000,000!!!",CONGRATULATIONS! You have been selected to receive a brand new car. Click here immediately to claim your reward. Act fast!,non-ticket,spam
"You have won $1,000,000!!!",Your package from FedEx could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Scheduled Maintenance - File Server,Infrastructure change needed: application deployment. Business justification: project requirement. Implementation date: 2026-02-23.,ticket,change
Make money from home,CONGRATULATIONS! You have been selected to receive an iPhone. Click here immediately to claim your reward. Act fast!,non-ticket,spam
System maintenance scheduled,Notification: Your password will expire in 29 days. Please update your password before 2026-02-14.,non-ticket,notification
Problem: Reporting Service intermittent failures,Problem record created: Intermittent system freeze. Unable to reproduce consistently. Logs show during backups. Need deep dive analysis.,ticket,problem
Server upgrade request,Requesting change to update web server from version v3.0 to v3.1. Risk assessment completed.,ticket,change
Change: Security patch deployment,Requesting change to update load balancer from version v3.9 to v5.2. Risk assessment completed.,ticket,change
Pattern identified: after midnight,Chronic issue with cache. Performance degradation noticed over week. Trend analysis shows memory leaks.,ticket,problem
Account activity alert,"Automated notification: Clearance Event occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
Make money from home,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Security Code for Email Account,"Security Alert: Your verification code is 753732. If you did not request this code, please ignore this email.",non-ticket,otp
Claim your prize now,Make $149 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Change Request: security patch,Change request to deploy v5.2.3 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Update Request - web server,Database migration scheduled for 2026-03-04. Backup completed. Migration scripts tested. Expected duration: 4 hours.,ticket,change
Configuration change needed,"Change Request Details:
Change: server upgrade
Scheduled Date: 2026-03-08
Downtime Expected: 4 hours
Backout Plan: Restore from backup
Approvals Required: Manager, CAB",ticket,change
Email alias creation request,"Request for new user account. Name: David Smith, Department: HR, Start Date: 2026-03-09. Please create with standard permissions.",ticket,request
Transaction completed,This is an automated message from Banking Portal. Your update has been processed. Reference: REF889384. Do not reply to this email.,non-ticket,noreply
Special Offer: 29% Off,New arrivals: clearance items. Be the first to shop our latest collection. Free shipping on orders over $166.,non-ticket,marketing
Multiple incidents related to web server,Chronic issue with web server. Performance degradation noticed over 3 days. Trend analysis shows memory leaks.,ticket,problem
Server upgrade request,Change request to deploy v3.0.0 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Remote access setup needed,"New employee onboarding - please set up: email account, network access, Visual Studio. Start date: 2026-02-24.",ticket,request
Congratulations! You are a winner,Your package from DHL could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Multiple incidents related to load balancer,Systematic investigation required for email delivery. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Need RCA for recurring outages,Problem ticket created to investigate authentication failure. Frequency: randomly. Impact: customer transactions. Need permanent solution.,ticket,problem
792013 is your verification code,Your OTP for CRM System is 792013. This is an automated message. Please do not reply.,non-ticket,otp
Account notification,"Automated notification: Summer Sale occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
Limited Time Offer,"Dear valued customer, enjoy 43% off on all items. Use code: 869875. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Problem Investigation: performance degradation,Systematic investigation required for report generation. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Change Request for Development,Requesting approval for security patch. Environment: Production. Risk Level: Medium. Testing completed in Development.,ticket,change
Account notification,Your update was successful. Transaction ID: TXN832109. This mailbox is not monitored. Please do not reply.,non-ticket,noreply
Shared drive access needed,"Hello, I need access to database. My role is Administrator and I require this for daily tasks. Please process this request.",ticket,request
API service unavailable,Incident #: data corruption - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Exclusive Deal Just for You,"Dear valued customer, enjoy 26% off on new arrivals. Use code: 027813. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Underlying issue investigation,Chronic issue with application server. Performance degradation noticed over 3 days. Trend analysis shows increasing frequency.,ticket,problem
Subscriber exclusive: Free Shipping,"Newsletter: system event. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Login Verification Code,"Verification code: 388905

Use this code to complete your login. Valid for 12 minutes.",non-ticket,otp
Investigation: Salesforce stability issues,"Multiple incidents logged for application server: INC31261, INC51262, INC87739. Underlying problem suspected. Please investigate.",ticket,problem
New email account setup,Requesting permission to access \\share\Engineering\Projects. Business justification: team collaboration. Manager approval attached.,ticket,request
Application crash on Mobile,Emergency: Authentication is not responding. Getting error: 500 Internal Server Error. Business operations halted.,ticket,incident
Load balancer configuration change,Infrastructure change needed: configuration update. Business justification: team collaboration. Implementation date: 2026-03-12.,ticket,change
Critical bug in payment,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Server crash - PROD-WEB-01,System outage detected at 6:52 PM. application server is down. Customers cannot access mobile app.,ticket,incident
Critical bug in checkout,Users reporting system freeze since 5:58 PM. 32 users affected. Production environment impacted.,ticket,incident
Backup completed successfully,Notification: Your password will expire in 11 days. Please update your password before 2026-02-14.,non-ticket,notification
Login Verification Code,Your OTP for Banking Portal is 725055. This is an automated message. Please do not reply.,non-ticket,otp
Request for Oracle installation,"New employee onboarding - please set up: email account, network access, Oracle. Start date: 2026-03-03.",ticket,request
Act now! Limited spots available,You have 14 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Permission request for \\share\IT\Reports,I need to reset my password for File Server. Username: user874. Please send reset link.,ticket,request
Network connectivity issue,Emergency: Payment Processing is not responding. Getting error: 500 Internal Server Error. Business operations halted.,ticket,incident
Network configuration change,Change request to deploy v2.6.10 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Your Email Account verification code,"Verification code: 437175

Use this code to complete your login. Valid for 9 minutes.",non-ticket,otp
Multiple incidents related to database,Systematic investigation required for email delivery. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Limited Time Offer,New arrivals: new arrivals. Be the first to shop our latest collection. Free shipping on orders over $55.,non-ticket,marketing
System Down - SAP,System outage detected at 9:53 PM. application server is down. Customers cannot access portal.,ticket,incident
Comment on your post,Your invoice is ready. Reference number: REF286301. You can access it through your account dashboard.,non-ticket,notification
Request: Increase storage quota,Please provide me with monitor. This is needed for project work by 2026-02-27.,ticket,request
Act now! Limited spots available,You have 7 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Root Cause Analysis Required,"Root cause analysis request for performance degradation. Related incidents: INC88258, INC28832. Common factor: network latency. Investigation priority: High.",ticket,problem
Single ladies in your area,CONGRATULATIONS! You have been selected to receive a vacation package. Click here immediately to claim your reward. Act fast!,non-ticket,spam
Your OTP Code,"Security Alert: Your verification code is 082966. If you did not request this code, please ignore this email.",non-ticket,otp
Recurring issue - report generation,Problem ticket created to investigate timeout errors. Frequency: randomly. Impact: customer transactions. Need permanent solution.,ticket,problem
Printer not responding,We are experiencing performance degradation. Users are unable to access files. This is affecting all users. Please investigate immediately.,ticket,incident
Server upgrade request,Requesting change to update cache from version v3.7 to v3.6. Risk assessment completed.,ticket,change
Special Offer: 45% Off,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
Password expiration notice,System maintenance is scheduled for 2026-02-14 from 10:00 AM to 10:00 AM. Services may be temporarily unavailable.,non-ticket,notification
"You have won $1,000,000!!!",Make $122 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Database connection failed,Critical incident reported: data sync. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Make money from home,Your package from FedEx could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
500 error on /login,We are experiencing connectivity problems. Users are unable to view reports. This is affecting critical business operations. Please investigate immediately.,ticket,incident
Account notification,This is an automated message from Banking Portal. Your update has been processed. Reference: REF835381. Do not reply to this email.,non-ticket,noreply
Pattern analysis needed for system freeze,Problem ticket created to investigate system freeze. Frequency: intermittently. Impact: production environment. Need permanent solution.,ticket,problem
Account activity alert,"Automated notification: Black Friday occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
CR#59279: immediate attention required,Requesting change to update load balancer from version v2.6 to v3.5. Risk assessment completed.,ticket,change
Special Offer: 48% Off,"Dear valued customer, enjoy 48% off on all items. Use code: 687481. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Problem: Multiple similar incidents,Pattern identified: VPN fails every after midnight. 94 incidents logged. Problem management process initiated.,ticket,problem
Production Issue - database,Incident #: performance degradation - critical issue. Status: Critical. Multiple departments affected.,ticket,incident
Check out our latest Fashion,"Newsletter: status update. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
500 error on /admin,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
System notification,This is a system-generated email regarding status update. Please do not respond to this message. Contact support@company.com for support.,non-ticket,noreply
File server inaccessible,Incident #: performance degradation - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Subscriber exclusive: Special Bundle,"Newsletter: account activity. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Backup policy modification,Database migration scheduled for 2026-03-04. Backup completed. Migration scripts tested. Expected duration: 2 hours.,ticket,change
Production Issue - database,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
VPN access request,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Your OTP Code,Your one-time password is: 493061. This code will expire in 6 minutes. Do not share this code with anyone.,non-ticket,otp
Password expiration notice,Reminder: Document Review is due on 2026-02-14. Please complete this action to avoid late fees.,non-ticket,notification
Problem management: performance issues,Chronic issue with cache. Performance degradation noticed over month. Trend analysis shows increasing frequency.,ticket,problem
Problem: Multiple similar incidents,We have observed a recurring pattern with performance degradation. This has occurred 27 times in the past month. Root cause analysis needed.,ticket,problem
Your package could not be delivered,You have 2 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Request for JIRA license,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Security alert: New login detected,System maintenance is scheduled for 2026-02-14 from 6:00 AM to 7:00 AM. Services may be temporarily unavailable.,non-ticket,notification
Conference room booking system access,Requesting permission to access \\share\Support\Projects. Business justification: required for job function. Manager approval attached.,ticket,request
Underlying issue investigation,"Multiple incidents logged for load balancer: INC48159, INC52602, INC99160. Underlying problem suspected. Please investigate.",ticket,problem
System Down - Web Portal,Incident #: timeout errors - critical issue. Status: Critical. Multiple departments affected.,ticket,incident
Application version upgrade,Requesting change to update cache from version v3.0 to v5.6. Risk assessment completed.,ticket,change
Need RCA for recurring outages,Chronic issue with cache. Performance degradation noticed over 3 days. Trend analysis shows decreasing performance.,ticket,problem
Trend analysis request,"Root cause analysis request for system freeze. Related incidents: INC89820, INC68184. Common factor: high load. Investigation priority: High.",ticket,problem
Chronic performance degradation,Problem record created: Intermittent connectivity problems. Unable to reproduce consistently. Logs show during backups. Need deep dive analysis.,ticket,problem
Network connectivity issue,Users reporting authentication failure since 7:40 PM. 38 users affected. Production environment impacted.,ticket,incident
Application crash on Windows,The CRM has crashed. Error message: Access Denied. This is blocking payroll. High priority.,ticket,incident
Special Offer: 40% Off,"Newsletter: status update. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Payment gateway failure,Incident #: performance degradation - critical issue. Status: Critical. Multiple departments affected.,ticket,incident
Make money from home,Your package from UPS could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Act now! Limited spots available,You have 7 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Security alert: New login detected,"Security Alert: We detected a new login to your account from Paris, Chrome at 06:18. If this was not you, please secure your account.",non-ticket,notification
Underlying issue investigation,Problem ticket created to investigate authentication failure. Frequency: daily. Impact: all users. Need permanent solution.,ticket,problem
System maintenance scheduled,"Security Alert: We detected a new login to your account from London, Chrome at 06:27. If this was not you, please secure your account.",non-ticket,notification
Problem management: network problems,"Multiple incidents logged for application server: INC23624, INC54465, INC85212. Underlying problem suspected. Please investigate.",ticket,problem
Application Error - Service Unavailable,System outage detected at 5:33 PM. load balancer is down. Customers cannot access portal.,ticket,incident
Network configuration change,Configuration change request for API Gateway. Change window: 2026-02-19. Rollback procedure documented.,ticket,change
Re: (no subject),Make $136 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Application access for new employee,I need to reset my password for CRM. Username: user881. Please send reset link.,ticket,request
Systematic failure pattern,Systematic investigation required for file upload. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Mobile device setup request,Requesting permission to access \\share\Marketing\Reports. Business justification: required for job function. Manager approval attached.,ticket,request
500 error on /api/users,Users reporting performance degradation since 2:18 AM. 81 users affected. Production environment impacted.,ticket,incident
Make money from home,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Request for Salesforce license,"Request for new user account. Name: John Brown, Department: IT, Start Date: 2026-03-03. Please create with standard permissions.",ticket,request
Problem Investigation: data corruption,"Root cause analysis request for data corruption. Related incidents: INC93203, INC17759. Common factor: network latency. Investigation priority: High.",ticket,problem
"You have won $1,000,000!!!",You have 10 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
New email account setup,Requesting permission to access \\share\IT\Projects. Business justification: project requirement. Manager approval attached.,ticket,request
System Down - API Gateway,The API Gateway has crashed. Error message: 404 Not Found. This is blocking payroll. High priority.,ticket,incident
Payment gateway failure,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
System Down - Email System,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
System Down - File Server,The File Server has crashed. Error message: Out of Memory. This is blocking payroll. High priority.,ticket,incident
Email server down,Emergency: File Sharing is not responding. Getting error: 404 Not Found. Business operations halted.,ticket,incident
Account activity alert,"System Notification: Update available. This is an automated alert. For assistance, please contact support@service.com",non-ticket,noreply
Problem management: system stability,Problem ticket created to investigate data corruption. Frequency: intermittently. Impact: critical business operations. Need permanent solution.,ticket,problem
Recurring issue - login,"Multiple incidents logged for application server: INC83900, INC73121, INC88240. Underlying problem suspected. Please investigate.",ticket,problem
Application access for new employee,I need to reset my password for Mobile App. Username: user819. Please send reset link.,ticket,request
Problem Ticket: immediate attention required,We have observed a recurring pattern with performance degradation. This has occurred 53 times in the past week. Root cause analysis needed.,ticket,problem
Request for SAP license,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Server upgrade request,Database migration scheduled for 2026-03-15. Backup completed. Migration scripts tested. Expected duration: 4 hours.,ticket,change
New User Account Creation,I need to reset my password for ERP. Username: user234. Please send reset link.,ticket,request
Special Offer: 42% Off,"Newsletter: system event. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Database connection failed,Emergency: Web Application is not responding. Getting error: 404 Not Found. Business operations halted.,ticket,incident
File server inaccessible,Critical incident reported: email delivery. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Exclusive Deal Just for You,"Newsletter: system event. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Website not loading,System outage detected at 1:23 AM. database is down. Customers cannot access payment system.,ticket,incident
Database schema update request,Requesting approval for configuration update. Environment: Development. Risk Level: Low. Testing completed in Development.,ticket,change
Request: Increase storage quota,"New employee onboarding - please set up: email account, network access, Zoom. Start date: 2026-02-27.",ticket,request
Permission request for \\share\Support\Reports,Please provide me with monitor. This is needed for analysis by 2026-02-20.,ticket,request
URGENT: report generation affecting users,We are experiencing system freeze. Users are unable to login. This is affecting all users. Please investigate immediately.,ticket,incident
Limited Time Offer,New arrivals: new arrivals. Be the first to shop our latest collection. Free shipping on orders over $51.,non-ticket,marketing
Status update: Approved,"Automated notification: Clearance Event occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
Problem Investigation: connectivity problems,Pattern identified: Salesforce fails every after midnight. 31 incidents logged. Problem management process initiated.,ticket,problem
Invoice available for download,Your invoice is ready. Reference number: REF483909. You can access it through your account dashboard.,non-ticket,notification
Firewall rule change request,Configuration change request for Mobile App. Change window: 2026-02-18. Rollback procedure documented.,ticket,change
Request for Zoom license,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Problem: Multiple similar incidents,"Root cause analysis request for performance degradation. Related incidents: INC56636, INC52894. Common factor: memory pressure. Investigation priority: High.",ticket,problem
060143 is your verification code,"Security Alert: Your verification code is 060143. If you did not request this code, please ignore this email.",non-ticket,otp
Don't Miss Out: Buy One Get One,Don't miss our New Season Launch! Special discounts on Fashion. Use promo code 969565 at checkout. Ends 2026-02-14.,non-ticket,marketing
Comment on your post,"Security Alert: We detected a new login to your account from Tokyo, Chrome at 06:26. If this was not you, please secure your account.",non-ticket,notification
Configuration change needed,Change request to deploy v5.9.5 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Subscriber exclusive: Buy One Get One,"Dear valued customer, enjoy 49% off on new arrivals. Use code: 327667. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Problem: Multiple similar incidents,Pattern identified: Email System fails every during backups. 39 incidents logged. Problem management process initiated.,ticket,problem
Re: (no subject),You have 19 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Recurring error: ERR-404,"Root cause analysis request for system freeze. Related incidents: INC21664, INC84914. Common factor: memory pressure. Investigation priority: High.",ticket,problem
Account notification,Your order was successful. Transaction ID: TXN714149. This mailbox is not monitored. Please do not reply.,non-ticket,noreply
Migration plan for Salesforce,Configuration change request for Salesforce. Change window: 2026-03-12. Rollback procedure documented.,ticket,change
Subscriber exclusive: Free Shipping,"Dear valued customer, enjoy 41% off on selected categories. Use code: 067250. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Act now! Limited spots available,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Scheduled Maintenance - API Gateway,Scheduled maintenance window for API Gateway on 2026-03-14 from 2:00 AM to 9:00 AM. Impact: all users. Stakeholders notified.,ticket,change
System notification,"Automated notification: New Season Launch occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
Congratulations! You are a winner,"CONGRATULATIONS! You have been selected to receive $1,000,000. Click here immediately to claim your reward. Act fast!",non-ticket,spam
Automated system message,This is an automated message from Company Portal. Your payment has been processed. Reference: REF233572. Do not reply to this email.,non-ticket,noreply
Distribution list creation,Can you please install Zoom on my workstation? I need it for Project Gamma. Computer ID: PC-7114.,ticket,request
New User Account Creation,"Hello, I need access to folder. My role is Developer and I require this for daily tasks. Please process this request.",ticket,request
Confirm your identity: 492091,"Security Alert: Your verification code is 492091. If you did not request this code, please ignore this email.",non-ticket,otp
Account notification,Your payment was successful. Transaction ID: TXN750689. This mailbox is not monitored. Please do not reply.,non-ticket,noreply
Migration plan for Web Portal,Infrastructure change needed: configuration update. Business justification: required for job function. Implementation date: 2026-03-14.,ticket,change
Problem Investigation: authentication failure,Problem record created: Intermittent authentication failure. Unable to reproduce consistently. Logs show during peak hours. Need deep dive analysis.,ticket,problem
Request for Salesforce license,I need to reset my password for Web Portal. Username: user231. Please send reset link.,ticket,request
Weekly Newsletter - account activity,"Newsletter: account activity. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Claim your prize now,Your package from USPS could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Underlying issue investigation,Chronic issue with web server. Performance degradation noticed over 2 weeks. Trend analysis shows decreasing performance.,ticket,problem
